ID,"Needed image or icon, etc",Description,Dimensions,Phase,Priority,Notes,Produced By,Consumed By
MOD-043,Mood Icon — Shame,"Flat-style circular icon on transparent background. Simple face circle (outline only, medium grey #9E9E9E) with eyes as two downward-angled diagonal lines (looking down/away). Below face, two hands (simplified mitten shapes) covering lower half of face in warm pink-beige (#FFAB91). Subtle warm blush on cheeks — two small pink circles (#EF9A9A at 40% opacity) on either side of nose area. Background circle fill muted warm pink (#FBE9E7). Style: vulnerable, self-conscious, turning inward — empathetic not judgmental.",64x64 PNG (transparent),Phase 1 — Foundation (Seed Data),P3,Optional — Mood DB,P1,"P1, P7, P8"
LBX-044,Loot Box — Common Rarity Visual,"Closed wooden loot crate viewed from front 3/4 angle on transparent background. Plain pine wood texture (#8D6E63) with visible plank lines and two dark iron bands (#455A64) wrapping horizontally. Simple iron latch on front. No glow, no particles — intentionally mundane. Slight shadow underneath for grounding. Small dull grey gem (#9E9E9E) in latch. Color palette: plain wood browns, iron grey. Flat even lighting with minimal highlights. Style: functional container, common drop, nothing special — the baseline.",256x256 PNG (transparent),Phase 5 — Reward Systems,P3,Optional — Notion Loot Box Inventory visual. Rarity hierarchy: Common < Rare < Epic < Legendary.,P5,"P5, P8"
LBX-045,Loot Box — Rare Rarity Visual,"Same loot crate composition as Common but upgraded. Darker richer wood (#5D4037). Iron bands replaced with polished steel (#78909C) with bolt details. Latch has glowing blue gem (#42A5F5) with soft radial glow (4px, 30% opacity). Thin blue light line seeps from lid crack (#42A5F5 at 50% opacity) suggesting something glowing inside. Two small blue sparkle dots above lid. Color palette: dark wood, polished steel, sapphire blue glow. Style: something good is inside — worth opening.",256x256 PNG (transparent),Phase 5 — Reward Systems,P3,Optional,P5,"P5, P8"
LBX-046,Loot Box — Epic Rarity Visual,"Same crate composition significantly enhanced. Near-black ebony wood (#1A1A2E) with purple-tinted grain. Bands are ornate silver with engraved swirl patterns. Bright purple gem (#7C4DFF) on latch with strong glow (6px, 40% opacity). Bright purple light pours from lid crack and keyhole (#B388FF at 60% opacity). Swirling purple energy mist wraps around crate base. 4-5 floating purple particles above lid (2-4px). Crate edges have subtle motion-blur suggesting vibration. Color palette: ebony black, silver engravings, electric purple glow. Style: rare and powerful — you want this one.",256x256 PNG (transparent),Phase 5 — Reward Systems,P3,Optional,P5,"P5, P8"
LBX-047,Loot Box — Legendary Rarity Visual,"Crate pushed to maximum. Obsidian black material (#0A0A1A) with veins of molten gold (#FFD700) cracking through surface. Bands are pure gold with gemstone inlays. Latch gem is massive multifaceted diamond emitting intense white-gold light. Lid crack erupts with golden-white energy beams (4-5 rays shooting upward, #FFEB3B at 70% opacity). Ring of fire/energy orbits crate at midpoint (thin, orange-gold). Dense particle field above — 8-10 floating embers, sparkles, energy motes in gold and white. Crate hovers slightly above shadow (2-3px gap). Color palette: obsidian black, molten gold, white-hot energy, amber fire. Style: legendary jackpot — barely containing its contents.",256x256 PNG (transparent),Phase 5 — Reward Systems,P3,Optional,P5,"P5, P8"
HTL-048,Hotel Tier — Budget Visual,"Modest roadside tavern/inn viewed from front on transparent background. Small two-story building with thatched straw roof (#8D6E63, messy texture), rough stone walls (#9E9E9E with darker mortar lines), single wooden door (dark brown #5D4037) with iron handle, one small upper window with dim warm candle glow (#FFB74D at 30% opacity). Hanging sign on rusty chain reads 'INN' in crude hand-painted letters on weathered wood. Small hay bale beside door. Dirt path in foreground. Deliberately humble. Color palette: straw brown, grey stone, dim candlelight. Style: cozy but cheap, starter-area RPG inn.",256x256 PNG (transparent),Phase 2 — HP/Death/Economy,P3,Optional — Hotel DB visual. Budget tier: 100 coins, +50 HP.,P2,"P2, P8"
HTL-049,Hotel Tier — Ordinary Visual,"Respectable stone inn viewed from front on transparent background. Three-story with dark slate tile roof, clean-cut stone walls (#78909C) with visible block patterns, polished wooden double door (warm brown #6D4C41) with brass handles, three windows per floor with warm interior light (#FFB74D at 50% opacity) and glass panes. Painted wooden sign on iron bracket with bed/moon symbol. Small garden planter and lit street lantern flank entrance. Cobblestone path. Color palette: clean grey stone, warm brass, amber window glow, green planter accent. Style: comfortable mid-range, town's reliable establishment.",256x256 PNG (transparent),Phase 2 — HP/Death/Economy,P3,Optional — Ordinary tier: 200 coins, +150 HP.,P2,"P2, P8"
HTL-050,Hotel Tier — Premium Visual,"Grand castle-like luxury estate viewed from front on transparent background. Tall four-story with pointed tower spires on each end, white marble walls (#E0E0E0) with gold-trimmed (#FFD700) window frames and balcony railings. Ornate arched entrance with red velvet carpet (#C62828) extending outward. Tall stained glass windows in warm jewel tones (ruby, sapphire, emerald). Multiple wall-mounted golden sconce lanterns casting rich warm light. Fountain in foreground courtyard with gentle water arc. Manicured topiary flanking carpet. Color palette: white marble, gold trim, ruby carpet, stained glass jewel tones. Style: opulent, fit for royalty, the best money can buy.",256x256 PNG (transparent),Phase 2 — HP/Death/Economy,P3,Optional — Premium tier: 300 coins, +500 HP.,P2,"P2, P8"
MKT-051,Market Item — Placeholder Product,"Burlap sack tied with rope at top, sitting on dark wooden shelf, on transparent background. Sandy brown (#A1887F) with rough woven texture and visible question mark '?' printed on front in dark brown (#5D4037) paint. Rope tie is coarse tan (#8D6E63). Small wooden price tag hangs from rope with no text. Shelf beneath is dark walnut (#3E2723). Simple, no glow, no effects. Color palette: burlap sand, rope tan, dark wood. Style: generic mystery item, placeholder that looks intentional — not lazy, just unspecified.",256x256 PNG or JPG,Phase 2 — HP/Death/Economy,P3,Optional — Market DB Product Picture field placeholder.,P2,"P2, P8"
VBD-052,Vision Board — Health Icon,"Circular icon on transparent background. Bold red heart shape (#E53935) with white ECG/heartbeat pulse line running horizontally through center — one sharp peak in middle (classic heartbeat spike) flattening on both sides. Heart has subtle inner gradient (lighter red #EF5350 at top-left highlight). Thin circular border in soft red (#EF9A9A, 2px). Background circle fill pale pink (#FFEBEE). Style: clean, modern health iconography, instantly readable.",128x128 PNG (transparent),Phase 8 — Dashboard & Onboarding,P3,Optional — Vision Board category icon (1 of 8).,P8,P8
VBD-053,Vision Board — Career Icon,"Circular icon on transparent background. Rising bar chart with three bars increasing left to right in dark navy blue (#1A237E). Tallest bar has small upward arrow at top (#42A5F5). Thin briefcase silhouette at bar base in darker blue (#0D47A1). Thin circular border in medium blue (#42A5F5, 2px). Background circle fill pale blue (#E3F2FD). Style: professional, growth-oriented, corporate-clean.",128x128 PNG (transparent),Phase 8 — Dashboard & Onboarding,P3,Optional — Vision Board category icon (2 of 8).,P8,P8
VBD-054,Vision Board — Finance Icon,"Circular icon on transparent background. Gold coin (#FFD700) in 3/4 angle with dollar sign '$' stamped on face in dark gold (#B8860B). Behind coin, small upward-trending line graph in green (#4CAF50) with 4-5 data points. Thin circular border in gold (#FFD700, 2px). Background circle fill pale warm yellow (#FFF8E1). Style: prosperity, financial growth, clean iconographic.",128x128 PNG (transparent),Phase 8 — Dashboard & Onboarding,P3,Optional — Vision Board category icon (3 of 8).,P8,P8
VBD-055,Vision Board — Relationships Icon,"Circular icon on transparent background. Two simplified human silhouettes standing side by side — one slightly taller. Both warm coral (#EF5350). Shoulders overlap slightly suggesting closeness. Small heart shape (#F44336) floats between heads. Thin circular border in warm pink (#EF9A9A, 2px). Background circle fill pale pink (#FCE4EC). Style: warm, human connection, inclusive and gender-neutral.",128x128 PNG (transparent),Phase 8 — Dashboard & Onboarding,P3,Optional — Vision Board category icon (4 of 8).,P8,P8
VBD-056,Vision Board — Learning Icon,"Circular icon on transparent background. Open book viewed from front with pages fanning upward. Cover deep indigo (#1A237E), pages white (#FFFFFF) with faint text lines. Graduation cap on top at jaunty angle, tassel right (#263238 cap, #FFD600 tassel). Small lightbulb icon (#FFEB3B) above cap suggesting ideas. Thin circular border in indigo (#3F51B5, 2px). Background circle fill pale lavender (#E8EAF6). Style: knowledge, growth, academic achievement.",128x128 PNG (transparent),Phase 8 — Dashboard & Onboarding,P3,Optional — Vision Board category icon (5 of 8).,P8,P8
VBD-057,Vision Board — Creativity Icon,"Circular icon on transparent background. Painter's palette from above — light wood tan (#D7CCC8) with thumb hole on left. Six small paint dabs around edge: red (#F44336), orange (#FF9800), yellow (#FFEB3B), green (#4CAF50), blue (#2196F3), purple (#9C27B0). Thin paintbrush diagonally across palette with rainbow-streaked bristle tip. Thin circular border in vibrant purple (#9C27B0, 2px). Background circle fill pale cream (#FFF3E0). Style: colorful, expressive, creative energy.",128x128 PNG (transparent),Phase 8 — Dashboard & Onboarding,P3,Optional — Vision Board category icon (6 of 8).,P8,P8
VBD-058,Vision Board — Adventure Icon,"Circular icon on transparent background. Simple compass rose with N/S/E/W points in dark teal (#004D40). North point largest with bright teal tip (#26A69A). Behind compass, silhouette of mountain range in medium grey (#78909C) with snow-capped peak (white #FFFFFF tip) on tallest mountain. Small flag planted on peak. Thin circular border in teal (#26A69A, 2px). Background circle fill pale teal (#E0F2F1). Style: exploration, discovery, the call to adventure.",128x128 PNG (transparent),Phase 8 — Dashboard & Onboarding,P3,Optional — Vision Board category icon (7 of 8).,P8,P8
VBD-059,Vision Board — Spirituality Icon,"Circular icon on transparent background. Lotus flower with 5 petals viewed from above, symmetrically open. Petals soft lavender (#CE93D8) with slightly darker purple (#AB47BC) edges and bright white center (#FFFFFF). Above lotus, small radiant dot with thin emanating rays (6 rays, pale gold #FFD600 at 50% opacity) suggesting enlightenment. Thin circular border in soft purple (#CE93D8, 2px). Background circle fill pale lavender (#F3E5F5). Style: serene, mindful, inner peace — non-denominational.",128x128 PNG (transparent),Phase 8 — Dashboard & Onboarding,P3,Optional — Vision Board category icon (8 of 8).,P8,P8
CLS-060,Class Icon — Warrior,"Circular icon on transparent background. Crossed longsword and battle axe forming X shape from front. Sword polished steel (#B0BEC5) with gold cross-guard (#FFD700) and brown leather grip (#5D4037). Axe dark iron (#455A64) with weathered wooden handle (#6D4C41). Behind weapons, round shield (lower half visible) in red (#C62828) with gold boss. Thin circular border in dark red (#B71C1C, 2px). Background fill deep blood red (#4A0000) to dark gradient. Style: strength, combat prowess, front-line fighter.",128x128 PNG (transparent),Phase 8 — Dashboard & Onboarding,P3,Optional — Warrior class boosts STR stat.,P8,P8
CLS-061,Class Icon — Mage,"Circular icon on transparent background. Tall wooden staff with glowing crystal orb at top. Staff is twisted dark wood (#4E342E) with vine carvings. Orb translucent blue (#42A5F5) with bright white core and soft blue glow (6px, 30% opacity). Three small arcane symbols orbit orb (triangle, circle, diamond ~6px each, pale blue #90CAF9 at 50% opacity). Few sparkle motes rising. Thin circular border in deep blue (#1565C0, 2px). Background fill midnight blue (#0D1B2A) to dark gradient. Style: arcane knowledge, intellectual power, magical mastery.",128x128 PNG (transparent),Phase 8 — Dashboard & Onboarding,P3,Optional — Mage class boosts INT stat.,P8,P8
CLS-062,Class Icon — Rogue,"Circular icon on transparent background. Two curved daggers crossed in X, blades up. Dark steel blades (#37474F) with sharp bright edge highlight (1px #CFD8DC) along cutting edges. Handles wrapped dark purple leather (#4A148C) with silver pommel caps. Behind daggers, subtle smoke/shadow wisp curling upward (#424242 at 40% opacity). Single golden coin (#FFD700) balanced on crossing point. Thin circular border in dark purple (#4A148C, 2px). Background fill near-black purple (#1A0A2E) to black gradient. Style: stealth, cunning, operates in shadows.",128x128 PNG (transparent),Phase 8 — Dashboard & Onboarding,P3,Optional — Rogue class boosts CHA stat.,P8,P8
CLS-063,Class Icon — Paladin,"Circular icon on transparent background. Tall kite shield viewed from front, white (#FAFAFA) with bold golden cross (#FFD700) centered with beveled edges catching upper-left light. Behind shield, warhammer handle upward — hammerhead visible at top, polished silver (#B0BEC5) with blunt square face and spiked back. Radiant halo of warm light (#FFF176 at 20% opacity) from behind shield. Small light rays (4, thin, #FFD700 at 30% opacity) from cross. Thin circular border in warm gold (#DAA520, 2px). Background fill deep royal blue (#0D47A1) to dark gradient. Style: holy protection, righteous strength, guardian of light.",128x128 PNG (transparent),Phase 8 — Dashboard & Onboarding,P3,Optional — Paladin class boosts VIT stat.,P8,P8
CLS-064,Class Icon — Ranger,"Circular icon on transparent background. Recurve bow in drawing position with arrow nocked and pulled back. Bow warm wood (#6D4C41) with green leather grip (#2E7D32). Arrow has steel tip (#B0BEC5) and green fletching (#4CAF50). Behind bow, silhouette of pine trees (3, dark green #1B5E20, varying heights) for wilderness. Small crescent moon upper-right (#FFD600, thin crescent). Thin circular border in forest green (#2E7D32, 2px). Background fill deep forest green (#0D1B0D) to black gradient. Style: precision, nature attunement, independent and self-reliant.",128x128 PNG (transparent),Phase 8 — Dashboard & Onboarding,P3,Optional — Ranger class boosts WIS stat.,P8,P8
RDR-065,Stat Radar Chart (Generated),"Programmatically generated by chart_renderer.py using matplotlib. 5-axis radar chart showing STR/INT/WIS/VIT/CHA. Dark background (#1A1A2E), stat lines in bright colors per stat, filled polygon with alpha. Uploaded to Cloudinary after generation.",800x800 PNG,Phase 5 — Reward Systems,P1,Generated programmatically by chart_renderer.py (Phase 5). Regenerated daily by Phase 7 automation. NOT a static asset — tracked for cross-phase wiring.,P5,"P5, P7, P8"
ACH-066,Achievement Badge — Level 5,"Use Generic Template (ACH-036). Badge for reaching Character Level 5. Modify template: add number 5 in center, use bronze color scheme.",128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/level_5.png — derived from generic template,P5,"P5, P8, P9"
ACH-067,Achievement Badge — Level 10,"Use Generic Template (ACH-036). Badge for reaching Level 10. Silver color scheme, number 10.",128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/level_10.png,P5,"P5, P8, P9"
ACH-068,Achievement Badge — Level 25,"Use Generic Template (ACH-036). Badge for reaching Level 25. Gold color scheme, number 25.",128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/level_25.png,P5,"P5, P8, P9"
ACH-069,Achievement Badge — Level 50,"Use Generic Template (ACH-036). Badge for reaching Level 50. Platinum color scheme, number 50.",128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/level_50.png,P5,"P5, P8, P9"
ACH-070,Achievement Badge — First Meal Log,Use Generic Template (ACH-036). Fork and knife crossed over plate silhouette. Green tones.,128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/first_meal.png,P5,"P5, P8, P9"
ACH-071,Achievement Badge — First Expense,Use Generic Template (ACH-036). Small ledger/receipt icon. Gold/green tones.,128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/first_expense.png,P5,"P5, P8, P9"
ACH-072,Achievement Badge — Streak 14 days,"Use Generic Template (ACH-036). Flame icon in gold, number 14. Between Streak Gold and Streak Platinum.",128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/streak_14.png,P5,"P5, P8, P9"
ACH-073,Achievement Badge — All Stats Level 5,Use Generic Template (ACH-036). Pentagon/star shape with 5 colored dots (one per stat color). Balanced build achievement.,128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/balanced_5.png,P5,"P5, P8, P9"
ACH-074,Achievement Badge — 10 Quests Completed,Use Generic Template (ACH-036). Scroll with checkmark and number 10. Adventure tones.,128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/quest_10.png,P5,"P5, P8, P9"
ACH-075,Achievement Badge — 25 Quests Completed,Use Generic Template (ACH-036). Scroll with gold seal and number 25.,128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/quest_25.png,P5,"P5, P8, P9"
ACH-076,Achievement Badge — First Loot Box,Use Generic Template (ACH-036). Small treasure chest icon cracking open. Warm amber tones.,128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/first_loot.png,P5,"P5, P8, P9"
ACH-077,Achievement Badge — Legendary Pull,Use Generic Template (ACH-036). Diamond/star burst in cosmic violet/gold. Maximum sparkle.,128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/legendary_pull.png,P5,"P5, P8, P9"
ACH-078,Achievement Badge — 1000 Gold Earned,Use Generic Template (ACH-036). Pile of gold coins with number 1000. Rich gold tones.,128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/gold_1000.png,P5,"P5, P8, P9"
ACH-079,Achievement Badge — First Death,Use Generic Template (ACH-036). Skull with cracked halo. Dark crimson/bone tones.,128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/first_death.png,P5,"P5, P8, P9"
ACH-080,Achievement Badge — 5 Deaths Survived,Use Generic Template (ACH-036). Five small skulls in arc with phoenix feather. Resilience theme.,128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/deaths_5.png,P5,"P5, P8, P9"
ACH-081,Achievement Badge — Vision Achieved,Use Generic Template (ACH-036). Eye/compass icon with golden glow. Aspiration theme.,128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/vision_achieved.png,P5,"P5, P8, P9"
ACH-082,Achievement Badge — Mood Tracker,Use Generic Template (ACH-036). Emotion wheel/face icon with 7 colors. Self-awareness theme.,128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/mood_tracker.png,P5,"P5, P8, P9"
ACH-083,Achievement Badge — Full Onboarding,Use Generic Template (ACH-036). Shield with checkmark and scroll. Completion of character setup.,128x128 PNG (transparent),Phase 5 — Reward Systems,P3,assets/icons/full_onboarding.png,P5,"P5, P8, P9"
